user,game,mean_x,mean_y,mean_z,rows
g1o1u13,cooking_simulator,-0.12851844437655527,1.506685399462702,0.27438258727628195,80776
g1o1u14,beat_saber,-2.0544475977713024,1.6119323714779632,0.052407990629028525,64203
g1o1u14,cooking_simulator,0.7283407038291533,1.5874420637588311,0.8906794382191041,38677
g1o2u00,beat_saber,-0.14014846687461413,1.5973871824770227,0.018564923544041958,61816
g1o2u00,cooking_simulator,-0.017686811440987805,1.570749943660878,0.5968918645513411,51119
g1o2u01,beat_saber,-0.07511007886245202,1.5687510165945546,0.15248009933203477,63816
g1o2u01,cooking_simulator,-0.18892136316207667,1.503049364479105,-0.343942778239893,96439
g1o2u02,beat_saber,0.09242445404201671,1.4876370746525045,0.3165669614916043,67486
g1o2u02,cooking_simulator,0.3783391065972026,1.4177986112498535,-0.18078015757591454,62472
g1o2u03,beat_saber,0.001859631689414619,1.6491989760246817,-0.8821191463140352,61313
g1o2u03,cooking_simulator,0.11133311228603933,1.584099114229328,-1.0487360539874973,55231
g1o2u04,beat_saber,0.06980930127308323,1.712447449859548,0.8608391321496934,60879
g1o2u04,cooking_simulator,-0.18508649523071646,1.627098885145332,0.2349049352098653,60311
g1o2u05,beat_saber,0.2018664099913721,1.361356640580967,0.04551044521321644,69885
g1o2u05,cooking_simulator,-0.15903194254087932,1.3239816287852155,0.34853589474731494,62810
g1o2u06,beat_saber,0.13776851225726663,1.579695431719484,-0.2862303134968674,62170
g1o2u06,cooking_simulator,0.47678089219451836,1.522571779670791,-0.3558370881421017,50302
g1o2u07,beat_saber,-0.07293616189418596,1.6414797358360707,-0.6397677388254902,65342
g1o2u07,cooking_simulator,0.2773062014906548,1.5896795398461265,0.8113329967522809,121116
g1o2u08,beat_saber,0.14023798946903698,1.5309015605605487,0.27151400687575655,73216
g1o2u08,cooking_simulator,0.31400430946630825,1.486295796997957,-0.045859197877029544,85541
g1o2u09,beat_saber,0.07689795519673588,1.6761545980039763,0.46542273182644783,71242
g1o2u09,cooking_simulator,-0.42866957338225514,1.610903917579813,0.06602483148551606,82043
g1o2u10,beat_saber,0.05285491076804396,1.6655031489216334,-0.16606425516585874,70292
g1o2u10,cooking_simulator,0.2397343437970681,1.6254713342091036,0.3452540603682451,63182
g1o2u11,beat_saber,-1.2065699999025425,1.3738888485399614,0.019074996332901956,61574
g1o2u11,cooking_simulator,-0.15148695561695294,1.3257115908825734,0.1572622040502521,80549
g1o2u12,beat_saber,0.12315519368205971,1.5933920522217653,-0.03878152975695581,77573
g1o2u12,cooking_simulator,0.3820645353351098,1.5091219034524321,0.4114132511491608,76874
g1o2u13,beat_saber,-0.029501949605020263,1.4913074229882801,0.20867834062220827,73768
g1o2u13,cooking_simulator,0.3306005715202797,1.4350037188089286,0.26949227645884843,82716
g1o2u14,beat_saber,0.19716716333169854,1.4648290254875842,-0.2793041102687449,127670
g1o2u14,cooking_simulator,-0.013800507828554364,1.4856839795455687,-0.8999713573202904,147841
g2o1u00,forklift_simulator,-0.5638326067165682,1.1753583346317646,-1.0596783387635318,71882
g2o1u00,medal_of_honor,0.05477103476638639,1.6183663449110393,-0.9302785931702332,74396
g2o1u01,forklift_simulator,0.09151199430994764,1.2413048585171693,0.0038482404405953056,67358
